"cnty_fips","display_name","Value","theme_range"
48217,"""Hill, (TX)""",488.4,"473.9 - 541.2 (647)"
48225,"""Houston, (TX)""",547.8,"541.3 - 1028.0 (641)"
48229,"""Hudspeth, (TX)""",368.1,"93.8 - 378.0 (645)"
48235,"""Irion, (TX)""",442.8,"427.3 - 473.8 (643)"
48239,"""Jackson, (TX)""",533.4,"473.9 - 541.2 (647)"
48241,"""Jasper, (TX)""",599.6,"541.3 - 1028.0 (641)"
48243,"""Jeff Davis, (TX)""",325.9,"93.8 - 378.0 (645)"
48245,"""Jefferson, (TX)""",586.5,"541.3 - 1028.0 (641)"
48247,"""Jim Hogg, (TX)""",402.1,"378.1 - 427.2 (645)"
48249,"""Jim Wells, (TX)""",602.5,"541.3 - 1028.0 (641)"
48255,"""Karnes, (TX)""",524.9,"473.9 - 541.2 (647)"
48259,"""Kendall, (TX)""",412,"378.1 - 427.2 (645)"
48261,"""Kenedy, (TX)""",380.9,"378.1 - 427.2 (645)"
48265,"""Kerr, (TX)""",397.8,"378.1 - 427.2 (645)"
48267,"""Kimble, (TX)""",424.7,"378.1 - 427.2 (645)"
48271,"""Kinney, (TX)""",417.3,"378.1 - 427.2 (645)"
48273,"""Kleberg, (TX)""",589.5,"541.3 - 1028.0 (641)"
48281,"""Lampasas, (TX)""",399.7,"378.1 - 427.2 (645)"
48283,"""La Salle, (TX)""",464.5,"427.3 - 473.8 (643)"
48285,"""Lavaca, (TX)""",457.5,"427.3 - 473.8 (643)"
48287,"""Lee, (TX)""",482.6,"473.9 - 541.2 (647)"
48289,"""Leon, (TX)""",433.1,"427.3 - 473.8 (643)"
48291,"""Liberty, (TX)""",639.3,"541.3 - 1028.0 (641)"
48293,"""Limestone, (TX)""",510.1,"473.9 - 541.2 (647)"
48297,"""Live Oak, (TX)""",453.3,"427.3 - 473.8 (643)"
48299,"""Llano, (TX)""",373.6,"93.8 - 378.0 (645)"
48301,"""Loving, (TX)""",524.2,"473.9 - 541.2 (647)"
48307,"""McCulloch, (TX)""",496.6,"473.9 - 541.2 (647)"
48309,"""McLennan, (TX)""",466.7,"427.3 - 473.8 (643)"
48311,"""McMullen, (TX)""",394.1,"378.1 - 427.2 (645)"
48313,"""Madison, (TX)""",513.7,"473.9 - 541.2 (647)"
48319,"""Mason, (TX)""",377.4,"93.8 - 378.0 (645)"
48321,"""Matagorda, (TX)""",529.3,"473.9 - 541.2 (647)"
48323,"""Maverick, (TX)""",419,"378.1 - 427.2 (645)"
48325,"""Medina, (TX)""",462.7,"427.3 - 473.8 (643)"
48327,"""Menard, (TX)""",436.9,"427.3 - 473.8 (643)"
48329,"""Midland, (TX)""",435.7,"427.3 - 473.8 (643)"
48331,"""Milam, (TX)""",459.8,"427.3 - 473.8 (643)"
48333,"""Mills, (TX)""",442,"427.3 - 473.8 (643)"
48339,"""Montgomery, (TX)""",416.8,"378.1 - 427.2 (645)"
48347,"""Nacogdoches, (TX)""",476.8,"473.9 - 541.2 (647)"
48349,"""Navarro, (TX)""",539.7,"473.9 - 541.2 (647)"
48351,"""Newton, (TX)""",662.3,"541.3 - 1028.0 (641)"
48355,"""Nueces, (TX)""",423.9,"378.1 - 427.2 (645)"
48361,"""Orange, (TX)""",664.2,"541.3 - 1028.0 (641)"
48371,"""Pecos, (TX)""",410.3,"378.1 - 427.2 (645)"
